stars,review_text,date_string
1,The staff here were absolutely appalling tonight. Our waiter was rude and completely ignored us for 40 minutes. The manager dismissed our complaint without even listening. Disgraceful service.,2025-05-10 22:50:00
1,Shocking service. The waiter was unprofessional and dismissive the entire evening. We had to beg to get our order taken. The crew seemed completely disinterested in doing their jobs. Never coming back.,2025-05-10 22:40:00
1,Worst service I have experienced. The staff were rude and unhelpful. Our server ignored us and when we flagged the manager he was just as bad. Felt completely neglected the whole night.,2025-05-10 22:30:00
1,"The team here were absolutely terrible tonight. Slow, disinterested, and rude when we asked questions. Waited over an hour for food with zero communication. The hospitality was nonexistent.",2025-05-10 22:20:00
1,Horrible experience with the staff. Our waiter was unfriendly and dismissive. The service was painfully slow and no one checked in on us. The management clearly doesn't care. Disgusting attitude.,2025-05-10 22:10:00
1,The service ruined what could have been a decent evening. The waitress was rude and got our order wrong twice without apologizing. The manager was unapproachable and unhelpful. Total failure.,2025-05-10 22:00:00
1,Dreadful staff tonight. We were ignored from the moment we sat down. The server was dismissive and unprofessional. Asked for the bill three times before anyone helped. Completely unacceptable service.,2025-05-10 21:50:00
1,Really bad service experience. The employees seemed completely untrained and disinterested. Our waiter was slow and rude. The hostess was unwelcoming. The whole team needs retraining urgently.,2025-05-10 21:40:00
1,"Terrible service from start to finish. The staff were rude, the waiter neglected our table and the manager was aggressive when we raised concerns. We felt completely ignored all evening. Avoid.",2025-05-10 21:30:00
1,"The crew here tonight were awful. Rude, slow, and completely disinterested. Our server disappeared for long stretches and the management did nothing when we complained. Unacceptable hospitality.",2025-05-10 21:20:00
4,"Went here on a Tuesday night and great spot for a date night. Lovely atmosphere and very cozy. The food was delicious, the pasta in particular. Service was a bit slow to start but picked up. Would go back and try more of the menu. Perfect for a family meal.",2025-04-03 12:14:15
5,"The service here sets the bar. Our server was polite, fast, and genuinely seemed to enjoy their job. The meal was delicious from start to finish. Cozy seating and great music, not too loud. Seating was comfortable and spacious.",2025-01-04 21:24:33
2,Disappointing visit. The food was stale and the portion sizes were tiny for the price. The atmosphere is okay but the service was terrible. Felt ignored for most of the evening. The bread basket alone was worth the visit.,2024-11-23 19:31:12
4,Solid meal. The ingredients tasted fresh and the presentation was nice. Our waiter was helpful when we had questions. Restaurant was clean. A little pricey but you get what you pay for. Booked online which was super easy.,2025-03-31 13:50:57
1,"Walked past and decided to try it, absolutely dreadful. The server ignored us for 20 minutes after we sat down. The food was burnt and tasted awful. The manager was rude when we raised concerns. Total rip-off.",2025-02-08 20:13:09
4,Had a lovely meal here. The flavours were bold and the food was clearly well-made. Staff were helpful and polite. The atmosphere is really nice in the evening. Prices are fair. Great spot for a date night.,2025-03-26 15:05:45
3,"Mixed feelings. Some dishes were really good, others were just mediocre. Service was inconsistent. Nice atmosphere. I think on a better night it could be excellent but this visit was just okay.",2024-11-23 17:20:25
5,"Made a reservation and went here for my anniversary and they made it so special. The manager came over to greet us, the team was on point all night. Delicious food, great value for the quality. Couldn't fault a thing. The bread basket alone was worth the visit.",2024-11-02 16:13:23
3,Tried this place for the first time and it was fine. The food was decent and the staff were polite. Nothing wowed us but nothing went wrong either. The music was a bit loud for a conversation. Might go back if someone else suggests it. The lunch menu is better value than dinner.,2025-03-13 13:38:29
5,"Walked past and decided to try it, the food here is just outstanding. Tried the salmon and it was perfectly cooked, incredibly fresh. Service was fast and efficient. The interior is beautifully designed, very aesthetic. The AC was blasting which made it quite cold.",2024-12-26 21:10:47
1,Visited on a long weekend and absolutely dreadful. The server ignored us for 20 minutes after we sat down. The food was burnt and tasted awful. The manager was rude when we raised concerns. Total rip-off. Booked online which was super easy.,2024-12-16 18:42:11
5,"Been coming here for years and went here for my anniversary and they made it so special. The manager came over to greet us, the team was on point all night. Delicious food, great value for the quality. Couldn't fault a thing. The parking situation is a nightmare though.",2024-12-14 17:43:52
4,Tried this place for the first time and solid meal. The ingredients tasted fresh and the presentation was nice. Our waiter was helpful when we had questions. Restaurant was clean. A little pricey but you get what you pay for. Quieter on weekdays which I prefer.,2025-04-11 11:09:19
3,Visited last week and so-so experience. Some positives - the food tasted fresh and the location is great. But the wait time was too long and the staff seemed disorganized. It has potential. Gets very crowded on weekends.,2025-01-24 12:33:25
5,"Best pizza in the city, no contest. Authentic recipe, perfect crust, fresh ingredients. Service was fast even on a busy Friday night. The place has a great vibe and the music was perfect. The music was a bit too loud for a proper conversation.",2025-04-13 13:28:16
3,Went here on a Tuesday night and it was fine. The food was decent and the staff were polite. Nothing wowed us but nothing went wrong either. The music was a bit loud for a conversation. Might go back if someone else suggests it.,2024-12-03 15:44:30
5,"Took my family here and the food here is just outstanding. Tried the salmon and it was perfectly cooked, incredibly fresh. Service was fast and efficient. The interior is beautifully designed, very aesthetic.",2025-05-03 19:49:47
5,"Incredible food and even better service. The chef clearly cares about quality, everything tasted fresh. Portion sizes are great for the price. The team were all friendly and helpful. Quieter on weekdays which I prefer.",2024-12-02 11:07:09
4,"Had a work dinner here and decent spot. The food was fresh and well-prepared. Service was good, no major complaints. Only thing I'd say is the bill came a bit slow at the end but the meal itself was excellent. Great spot for a date night.",2025-02-13 12:59:13
3,Tried it after seeing it online and okay spot. The menu looks impressive but the execution was a bit hit or miss. The waiter was friendly. Food took longer than expected to arrive. Price is a bit steep for average food.,2025-03-08 22:14:54
4,"Been coming here for years and nice place with a great atmosphere. The decor is modern and the lighting is lovely. Food was delicious, especially the risotto. Slightly pricey but not unreasonable for the quality.",2025-02-01 12:43:04
3,Came back for the third time and not bad but not great. The meal was edible but bland. Our server was friendly enough but clearly overwhelmed. The place looks good but the food doesn't quite live up to the aesthetic. Overpriced. The parking situation is a nightmare though.,2025-03-30 10:21:13
4,Went here on a Tuesday night and good overall. The team was friendly and the food came out at a good pace. The meal was tasty and well-presented. My only gripe is that it was a bit cold near the door where we were seated. Would have given 5 stars but the wait was long.,2025-02-11 16:26:52
4,Tried the new menu and really solid restaurant. The fish dish was incredibly fresh and the sides were great. Staff were friendly and efficient. The decor is nice. Gets a bit loud when it's full but manageable. Seating was comfortable and spacious.,2024-12-17 10:59:23
2,Went here on a Tuesday night and had a bad experience. The food was cold when it arrived and the manager was unapologetic when we brought it up. Staff seemed untrained and disorganized. Expected much more based on the price.,2025-02-22 13:19:54
